Country,FAOSTAT group,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lithuania,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5447,4078,2806.68,2667.28,2902.68,3738.28,3844.79,3876.35,4816.45,4859.28,4301.37,5620.49,8425.64,7633.67,8030.37,12466.67,15133.09,16652.67,13708.42,5927.22,6726.84,7548.18,7696.2,5287.46,4402.19,4544.6
Luxembourg,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749.28,2185.74,1910.98,1920.35,1986.38,1642.37,1942.8,2376.56,1531.97,1565.14,1515.18,2755.7,4820.9,3935.43,4511.44,4783.48,4983.27,4844.41
Madagascar,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,24747.06,26644.44,31547.62,38646.15,35745.83,36448,40550,44996.77,33347.83,34550,36448,37550,38590,39664.04,39795.8,41504,41509,41513,41527,38017,38592,37127,35468,32500,34120,40000,40000,40002,30215,30230,27654,29075,31481,32878,33172.11,32638,36096,31893.86,32249.6,32182.91,31671.02,32211.56,32282.13,33727.54,34929.26,35412,35405.22,35438.25,35643.93,38362.93,34215.92,30547.25,26617.19,25632.04,29718.88,34792.15,41340.15
Malawi,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,14001.49,19199.25,21400,20900,33599.57,32200.34,29300,32800,38000,44800,58100.93,67498.91,66598.66,68177,65592.47,72593,65124.5,65538,56879,58473.63,47058.2,54212.05,64367.97,64199.67,61387.32,72386.83,87770,78273.8,70644.06,73983.95,63665.22,69452.15,67880.67,58726,53782,63748,56532.33,41311,45954.34,50447.54,41122.64,41935.85,54157.66,57211.09,60231,73598.8,67947.29,71674.99,70949.84,100917.41,85099.91,128524.54,115964.72,121056.72,146927.11,160863.37,211890.89
Malaysia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,3631,3688,4341,5202,5908,6309,6211,6708,7002,6796,9387,10178,10367,9297,9436,9738.08,8809.92,9911.15,11952.21,10677.31,18879.91,11567.13,12148.11,13102.54,22684.71,24651.88,14500.65,21468.13,22511.55,24378.11,26137.01,28999.89,34157.08,41642.32,41365.11,60764.57,63874.11,59850.97,68513.25,83243,76711.36,80191.53,83077.48,100981.7,96894.15,96164.92,106050.18,131260.86,193388.38,194080.95,161837.97,209815.81,218264.52,209657.09,210479.73,185290.02,200544.69
Maldives,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.38,81.94,45.43,61.19,44.32,76.14,96.94,107.19,101.54,127.35,133.94,188.1,251.37,316.52,269.38,293.42,282.52
Mali,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,45517.24,56517.24,54800,52000,52000,62127.27,63036.36,64690.91,67109.09,67309.09,69800,69981.82,79417.46,72110.71,66800.38,66026.6,68036.93,71026.26,79647.12,81208.41,71296.46,69093.26,60409.91,53332.7,50817.9,57352.93,54870.25,53945.47,69388.21,69405.19,67564.77,67359.16,63353.36,62113.57,132023.08,101119,94037.4,92287.08,91359.24,99585.76,89977.54,96473.11,99335,101311.11,101135,103444,94530.3,95768.11,94722,92380.11,103353,65553.68,94028,73987,81255.14,105999.84,114187.58
Malta,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.12,226.23,184.34,139.12,154.97,102.18,288.47,322.92,602.43,864.69,845.36,832.92,679,664.18,635.65,749.65,689.93,736.88,1015.77,1199.44,1163.94,1647.14,1609.99,1346.75,1748.07,2136.81,2188.19,2086.33
Marshall Islands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.11,0,41.11,0,0,1,3.22,0
Martinique,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96.74,117.45,52.44,96.78,129.88,185.9,185.56,190.14,13,10,10,10,8,8,8,8,12,10,10,10,4,5,5,5,5,5,6,6,6,0
Mauritania,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,5000,5000,5000,5000,5000,5500,5500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5000,5000,7000,8000,8000,9000,9000,10000,9980,9981,12000,11986,11980,13022,15000,15094,15000,15001,14622,14954.11,15014.56,15091.11,15021.33,15022.22,15000,15018.18
Mauritius,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,6,7,8,10,4142.31,1575.69,589.27,298.23,195.01,592.87,924.87,242.06,560.61,613.18,720.63,666.94,177.18,114.74,192.03,358.75,325.94,240.92,351.45,181.71,571.74,891.32,955.54,1023.71,1576.57,1537.08
Mayotte,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.86,1,15.21,2,2,14.43,15.54,15.4,19.36,16.93,36.3,22.65,22.11,22.86,28.57,38.57,0,0,0,0,0,0,0
Mexico,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,6715,4000,6200,4200,4100,5500,6800,7700,7500,6100,6400,8000,11900,10840,13840,14743.33,15284.86,18015.07,28162,33041.49,82823.23,92005.23,94743.86,100732,92064.18,108056,160777.52,157111.07,156278.35,131052.47,128388.33,120730.55,123199.99,130547.6,125943.53,135553.57,134983.01,122359.84,117475.75,141215.42,137386.12,108694.7,137309.52,148262.37,147548.62,150732.2,142330.57,133854.66,136793.83,134199.43,150641.9,250035.26,396654.92,473000.13,503291.99,586532,561936.53
"Micronesia, Fed.States of",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,5,5,5,4,4,5,5,5,5,5,15.77,5,5,5,8.54,9.44,15,5,10.56,5,5,5,5,52.5,10,6.11,5,5
"Moldova, Republic of",Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,2365,1750.74,1678.1,1372.34,1364.12,1296.12,893.12,1823.32,1909.9,2479.55,3552.05,6076.74,7311.27,7843.77,8692.49,11025.52,15511.85,13395.95,13217.8,12820.52,13918.66,15901.36,15356.79,15963.18,16052.79
Mongolia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,250,250,280,280,290,290,290,300,300,300,300,300,300,300,300,300,265,494,537,346,262,184,347,370,374,412,383,281,254,124,100,120,165,184,68,1,0,1.54,0,2,140,0,0,5,7,5,6,16,15,3,1,14.5,36,32.04,26.5,126.5,79.04
Montenegro,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917.81,680.32,1345.71,1337.06,1183.6,1490.03,1658.42,1900.87,1878.81,1578.99,1821.89,1435.55
Montserrat,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1.54,0,0,1.54,3.08,4.19,4.19,1.54,6.15,1.54,1.54,1.54,3.08,3.08,3.08,0,1.54,1.54
Morocco,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1700,1500,1300,1900,2000,1600,2000,1800,1300,500,400,500,500,560,523,544,737,834,626,805,925,1375,1511,1584,1374,1646,1570,1290,1913,1558.25,970.71,1893.92,1449.12,1666.02,1863.7,2076.56,3105.75,2766.22,3081.27,2479.16,2246.03,2722.16,2101.81,1726.3,3574.81,3923.58,784,1170.86,2539.06,6148.24,9375.38,12176.98,16230.5,16121.15,16329.34,19176.89,17878.38
Mozambique,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1500,1500,1500,1500,2000,2000,2000,2000,2000,2500,2500,2500,3000,3000,3000,3000,3000,3000,3500,3500,3500,3500,3500,3500,3500,3772,3284,3268,3520,3515,3815,3812,4699,5041,8038,11578,15921,14313,16044,20459.95,14569.88,16906.46,19231.75,27348.5,22210.64,25349.22,23573.67,27444.41,43601.08,44939.33,73345.58,67224.38,85016.42,84734.74,94189.73,97329.25,98779.74
Myanmar,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,108459.85,109440,105686.33,103230,103290,103350,108530,112920,115920,64800,65300,65300,65000,69840,66900,69160,71499,73348,78567,75826,71756,57855,66484,68684,68164,81357,55823,53225,68227,47887,47504,67235,84948.11,103768,111009,216305.86,229781.4,228001.08,238087.08,281895.11,345766.54,428753.83,512633.94,813130.67,928818.11,1148885.11,1208525.69,1349962.85,1446238.61,1549500.5,1548500.28,1644464.23,1698352.47,1652594.77,1716682.84,1741037.47,1734779.18
Namibia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,50,100,400,700,923,951,979,1009,1039,1070,1102,1204,1204,1205,1275.77,1506.54,1521.92,1455.5,2736.61,2014.89,1696.56,2438.29,2227.26,2629.83,3062.59,3021.16,3067.97,2950.69,2886.65,3143.49,1121.86,1956.81,2203.25,2072.07,2625.27,3540.43
Nauru,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Nepal,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1500,1500,1500,1600,1600,1603,1809,1818,1926,1900,2100,2200,2200,2200,2500,2800,3000,3300,3500,3654,3868,4400,4700,4860,8785,9030,10363,11854,12415,14470,15515,16540,16950,16938,21070,21879,23212.11,24707.8,25784,31697.17,33213.86,35001.11,36564.22,39958.52,42547.98,45696.41,47095.47,49419.32,48334.54,50677.86,52470.11,56314.75,57885.26,65350.83,71152.94,74186.3,79713.63
Netherlands,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,6410,5208,5856,8794.29,9981.43,7010,8145,8130,8382.22,7374.29,9780,9720,8171.92,9671,11817,11574,10753.63,11358.88,12634.65,12421.03,11001.36,12162.27,12417.21,12707.27,12126.81,15018.31,14395.88,13460.99,12065.17,15925.07,15187.91,18253.84,18661.08,23678.55,35337.64,37595.03,30894.27,32733.43,20230.17,31105.48,22019.55,24296.3,21594.36,21351.31,20598.04,54444.95,50967.42,58062.16,70994.83,60482.87,32565,56673.97,52083.29,40746.78,36505.54,35228.31,16776.97
Netherlands Antilles,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.62,156.92,0,0,0,0,0,0,0,81.54,112.31,64.61,113.85,35.38,41.54,75.39,76.92,23.08,20,0,98.75,146.67,508.84,117.65,99.07,278.35,88.98,177.6,264.4,563.41,869.84,871.81,778.4,973.13,1019.2,0,0,0,0,0,0,0
New Caledonia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,51.7,0,0,0,0,0,101.59,87.16,117.24,97.35,116.93,130.87,173.52,133.14,143.53,116.42,129.46,121.15,130.14,148.85,166.68,141.59,155.02,154.46,146.5,217.01,154.64,355.55,390.13,364.16,268.67
New Zealand,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,869.23,2100,1538.46,1946.15,1946.15,1892.31,1223.08,1476.92,1376.92,1846.15,1846.15,1684.62,2075.39,2365.15,852.66,2507.15,1461.77,1820.08,2025.69,1992.19,2281.69,1941.38,2693.08,3223.23,2734.31,3650,3629.69,2533.08,3109.96,3694.55,3059.81,2836.86,3329.59,3938.06,3455.43,4255.24,3572.14,5171.05,6240.21,8609.56,7786.43,3784.31,3349.32,4338.88,7623.54,6399.75,8735.5,9353.19,8923.63,6387.21,10232.95,11510.54,9654.48,13595.47,12445.71,12003.49,12265.98
Nicaragua,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,600,600,900,900,1100,1200,1300,1300,1200,1300,1300,1200,2600,460,359,461.08,397.62,181.08,129.08,79,193,486,381,121,86,56,173,118,118,154,260,352,158.08,588.45,49.29,44.45,55.12,45.65,28.86,246,352.75,265.36,288.34,691.44,1222.93,638.08,1200.51,2125.37,2418.38,1295.3,979.58,859.69,1347.34,1625.38,1865.74,2746.99,2672.27
Niger,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,200,1250,6250,5036.84,4250,3250,1950,2550,750,320,490.91,10174.47,9800,7800,5877,4700,3654.5,7915.5,1834,8862,8008,6740,3168.5,2976.95,1920.34,2287.99,2260.5,2499,4728.51,3354,3145,2464,2031,2339.5,3549.5,4171,6225,6803,7670.5,12490.5,6385.5,4231.5,41529,42573.5,45412.5,30248.5,30184.5,30915,31366.72,40602.5,53098.38,47025.09,45840.13,48378,30813.5,37478.67,38344.53
Nigeria,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,25010,30030,30050,54417.83,64427.83,74237.93,76950.58,77457.87,79209.74,76299,104696,106403,107002,112734,112995,114959,115619,116108,117689,113316,111556,113985,116982,110429,87763,107076,103561,110574,115100,98676,91565,109357,111817,117700,133393.54,141059.44,152708.63,172015,168514.94,159279.27,205676.97,224033.32,209551.04,237705.43,305454.11,319456.1,318218.73,447735.77,439317.88,494201.93,523317.43,566588.05,618457.6,670376.32,658125.89,686480.32,716627.09
North Macedonia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1183.78,988.22,1004.19,1165.55,871.87,883.22,1068.54,1628.52,1584.78,1175.19,1411.91,1452.99,1722.45,1669.05,1253.03,1704.38,2262.91,3007.82,2792.53,2505.57,2522.61,2377.7,2115.05,2179.45,1703.17,2324.12
Northern Mariana Is.,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,6,6,5,5,6,11,19,19,19,19
Norway,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,1500,1000,800,1400,900,800,1391,1388,1122,1230,1361,2336,2510,3223,3230,3044.54,3121.23,2818.61,3439.61,4988.61,5741.54,4738.54,6594.49,4455.52,9488,6782,7433,6485.88,5333.03,8485.55,8859.11,4698.91,5310.95,17003.04,40159.96,30885.22,45970.99,54203.36,47425.43,67392.21,72968.44,63234.06,43574.5,27290.33,24985.93,28576.73,24243.83,27250.33,28883.55,38183.37,47342.45,45935.26,35383.41,44096.12,52724.24,52557.92,57489.5
Oman,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962.83,975.66,672.2,604.8,534.73,1328.14,148.83,266.67,324.77,329.77,670.55,2952,1894.69,4273.11,2857.53,4848.92,2326.98
Pakistan,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,28100,22900,25000,26800,28100,29900,29600,36000,38100,40000,38100,37700,39300,35850,37289,38619,42947,40680,50283,51204,62128,68190,62776,73005,78726,86573,93974,98493,106209,114405,116989,122711,123538,134170,136852,156364,183736,181631,203585.44,189059,180270,181104,165818.27,170533.44,173559.58,260320.36,227819.57,240444.54,244747.63,251300.73,248923.86,255394.89,249674.83,244364.62,254448.38,263411.08,265499.58
Palau,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,0,1,0,1,1,0,0,1,0,0,109.32,32.28,25.75,36.84,33.17,45.2,36.82,93.07,163.38,176.26,145.82
Palestine,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,820.56,1138.05,2118.33,1822.56,2456.22,1079.89,2828.22,2510,1146.83,2567.89,912.78
Panama,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.85,40,69.23,55.38,89.23,24.61,23,85.08,170.69,399.69,798.31,896.38,689.08,247.15,333.92,350.54,338.85,235.92,484.85,499.85,257.15,325.42,135.98,597.17,699.53,493.15,262.92,51.02,841.11,3747.1,4363.95,3673.97,3380.14,2630.27,3061.32,2160.04,3751.89,4255.3,4454.65,5293.19,5596.06,5744.89
Papua New Guinea,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,200,200,200,200,200,200,300,300,300,400,394,241,284,362,190,72.46,159,206,5204,7709,12785.4,11695.35,11725.76,11656.99,12973.84,12625.74,12787.29,12667,12918.5,12800.96,11568.14,11809.5,11682,11665,11667,11844.67,11739,11820.34,11963,11953.08,10229.7,10792.07,11567.58,12084.66,12147.54,12369.54,12774.26,12768.11,13216.42,13216.63,13269.28,13547.4,13950.58,13830.69,14050.03,13836.57,14407.34
Paraguay,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,600,600,700,700,700,700,800,1000,1400,1800,2200,2500,2700,2700,2800,2900,3000,3100,3140,3300,3350,3400,3500,5000,7500,12995,9996,10026,11041.15,12535,12945,17986,19062.03,20085.76,21215.36,22398.06,28321.05,28044.54,28081,28081,25555.16,25157,24592.86,24418.04,23559.42,22960.21,22422.17,21759.71,21207.81,20781.05,21954.97,21997.15,22586.51,23051.29,23516.04,23030.06,24704.9
Peru,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,3000,2000,2000,3600,2600,3000,3000,3005,3015,2040,2554,3117,5576,5753,6970,6567,12985,14494,14881,12838,17319,17817,33368,30408,28500,33159,37362,40730,35205,30092,44501.15,33886,39743.54,50087.61,51445.08,30071,33440.54,36918.98,37734.48,34154.82,38338.34,32962.34,36297.78,43951.11,46338.57,43532.68,51635.24,60359.26,60315.15,61604.37,59450.41,65479.59,70441.9,69631.2,85995.25,84345.57,99681.46
Philippines,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,113053.85,103403.85,82707.85,83270,84503.38,84474,85045.85,143144.85,144546.85,157997,164402,168196,170498,195126,198601,143039.61,154477.63,183408.2,188545.87,242005.23,308149.94,322862.87,446766.43,363753.09,322446,336378.3,349291,339670.22,355643,368624.36,393205.82,342385.97,317911.65,317177.27,307182.22,289770.35,307487.95,295038.87,331766.39,376700.05,416680.28,450502.25,465033.36,515929.89,552224.85,629165.43,711629.9,741483.93,746109.23,746106.77,768366.51,782452.7,797477.86,799755.84,802019.33,780966.2,806222.21
Poland,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,19700,19300,20800,21500,19000,20109,19527,23864,23905,20333,23990,26892,28436,26585,27440,28796,31456,26543,25538,25020,29029,31655,35408,37983,32377,33515,35218,37910,38477,49332,51505,54572.11,54169.11,51310.31,55125.26,53694.06,49228.16,48852.66,51947.5,57236.93,60110.45,63471.35,66769.85,79071.01,68896.14,109994.53,147000.91,151239.25,123140.54,104528.56,84557.78,72071.3,76321.51,88645.18,67065.04,62572.54,57094.18
Portugal,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,300,300,300,500,201,103,208,416,224,147,379,319,502,573,472,482,513,398,430,532,658,763,756.79,775.62,941.71,1578.06,2391.92,2050.62,1233.79,2599.28,3155.71,2830.16,2418.3,2053.44,1961.47,3374.58,4360.06,7327.68,7100.14,9044.88,9046.56,11756.17,12460.54,10838.54,12692.07,15237.02,16764.42,20850.83,22234.2,31088.39,30861.78,34950.18,34258.7,42913.53,38847.93,37000.11,34552.29
Puerto Rico,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,3,164,85,48,43,48,24,6,6,3,15,202,209,96,211,33,23,34,12,6,4,7,7,7,8,8,8,8
Qatar,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.95,0,0,1.54,3.08,4.62,15.38,4.62,978.77,1293.1,2060.91,2317.16,3455.5,3449.27,2747.16,3509.75,6771.26,12174.4,13038.66,16449.69,16766.28
Romania,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,30000,25500,30100,25600,23500,23800,35300,28500,29500,33158,32310,34371,42219,43409,49610,51327,55704,46279,50018,53079,55864,59633,51681,56802,58930,66887,68222,77637,67108,48361,28905,24391.86,19297.78,21656.69,17788,10779.25,12001.67,10409.86,11958.17,12355.69,13788.74,14041.59,16247.04,11274.17,11906.65,15944.57,19929.64,35683.17,52599.55,51621.61,36891.83,35072.99,37605.25,40783.37,37087.41,41450.11,43330.84
Russian Federation,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484943.05,414800.89,412442.84,426815.28,408327.89,471989.19,513293.21,546141.52,485395.89,461457.83,467383.69,532040.64,449435.43,534795.49,579823.81,764189.88,922658.22,1019097.1,803964.4,927086.3,990749.3,982586.88,875624.81,771907.7,816119.47,808421.42
Rwanda,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,500,500,500,700,700,700,800,800,800,900,900,800,1000,1368,1198,1008,1325,733,974,1223,982,1240,1248,825,947.87,1546,1737.27,1328,1516,2514,3561,3697,3553,3460,3379,3056.1,4550.28,6769,6733,6996,7263,7612,8428,8212,6807.73,7844.97,9260.57,11559.16,11630.41,13117,17276.22,19572.87,23765.51,27647.73,32132.42,28604.85,30629.53
Réunion,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14,15,79.28,71.39,10.63,64.3,128.21,168.1,196.57,242.15,0,130,121,136,139,112,104,101,83,103,104,111,110,100,100,85,85,85,60,60,60,10
Saint Helena,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,2.86,18.54,53.83,1.11,0,0,9.01,0,3.08,1.54,3.5,0,4,0
Saint Kitts and Nevis,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,8.95,12.6,0,6.73,25.87,19.12,24.68,32.58,31.29,31.35,69.87,23.62,46.02,74.22,40.56,35.6,67.53,165.14,57.41,171.71,143.18,50.79
Saint Lucia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,4.62,0,1.54,0,0,0,0,0,0,0,16.31,4.87,9.06,8.63,10.74,10.21,12.86,18.27,42.71,32.28,27.71,45.61,103.23,29.43,39.38,67.95,74.86,11.51,16.29,19.38,52,72.65,145.59,168.34,154.8,178.69
Saint Vincent/Grenadines,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,6.33,8.25,2.65,10.11,12.97,12.44,11.65,7.04,8.79,4.19,6.93,11.87,20.88,6.15,7.47,4.19,10.81,5.93,19.34,11.06,9.47,4.4
Samoa,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,1,121.47,49.62,14.93,6.62,45.65,13.34,10.15,13.23,25.57,18.34,32.41,116.59,79.58,136.65,142.63,708.11,90.19
Sao Tome and Principe,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,1,0,0,0,0,36.92,0,0,0,0,0,0
Saudi Arabia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,138,328,1230,1936,2017,7357.73,6926.34,5684.27,16491.66,15950.19,19693.31,17589.93,24062.54,23202.85,26065.06,34699.46,38295.69,54283.81,51727.6,69014.99,65665.87,47923.61,53195.06,96002.66,90171.77,149943.41,137481.99,128276.56,120803.18,140557.91,146125.37
Senegal,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,29000,30000,20000,21600,30200,25000,23000,21000,20000,28000,28000,25000,22000,24196,29215,26156,21512,20634.5,19719.15,23009.27,21844,21087,21066,20946,21383.82,21249,21506.43,18959.7,18376.15,18283.8,20462.1,26349,28693,36834,42429.83,49371.92,55553.39,44244.02,60236.48,53821.76,49541.52,45355.89,40475.49,25077.63,29989.51,24031.27,33437.61,31369.23,34274.58,34802.45,34365.41,35757.01,34521.7,31935.69,29784.6,29530.96,30094.63
Serbia,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10908.86,13592.44,14265.27,23007.62,28661.99,32684.71,32599.87,21776.32,21421.15,17454.65,13796.54,16934.03
Serbia and Montenegro,Freshwater & diadromous fish,Total food supply,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5110,3796,3911,3589.89,4918.15,5507.25,11362.33,5861.09,5267,5405.78,5659.47,5396.92,8882.94,8754.58,0,0,0,0,0,0,0,0,0,0,0,0
