MPI country name,FAO country name,Group of species (Name),Unit (Name),prod_2004,prod_2005,prod_2006,prod_2007,prod_2008,prod_2009,prod_2010,prod_2011,prod_2012,prod_2013,cons_2004,cons_2005,cons_2006,cons_2007,cons_2008,cons_2009,cons_2010,cons_2011,cons_2012,cons_2013
Guinea,Guinea,Freshwater & diadromous fish,Tonnes,7002,8100,9110,10110,12170,14177,16185,18200,20250,22250,6314.36,3390.4,5290,9233.56,11707.34,13732.56,15692.66,17685.64,20299.43,18838.04
Guinea-Bissau,Guinea-Bissau,Freshwater & diadromous fish,Tonnes,150,150,150,150,150,150,150,150,150,150,150,168.89,165.56,155.56,121.78,125,150,150.11,166.67,150
Guyana,Guyana,Freshwater & diadromous fish,Tonnes,1246,1246,1300,1300,1015,1143,1156,990,1033,992,389.65,644.95,386.37,627.93,563.3,734.08,884.2,606.7,520.81,693.62
Haiti,Haiti,Freshwater & diadromous fish,Tonnes,382,432,482,662,712,825,860,1200,1320,1320,5493.11,5569.97,6521.43,9065.43,7330.62,7112.82,7619.88,4990.67,4036.97,5152.2
Honduras,Honduras,Freshwater & diadromous fish,Tonnes,9100,28476,28500,28456,20594,14332,16555,20100,20600,21100,216.25,9427.4,8516.58,8821.66,544.45,988.39,6932.36,4609.24,4155.53,3465.96
India,India,Freshwater & diadromous fish,Tonnes,3137563,3574493,3777464,3701464,4443578,4411235,5074324,4366721,5241444,5336648,3127832.2,3565782.5,3767556.5,3698943,4434141.5,4371187,5062392.5,4353650.5,5208621.5,5283509
Indonesia,Indonesia,Freshwater & diadromous fish,Tonnes,1157737,1243172,1294163,1432834,1606052,1741417,2283637,2724397,3132002,3651221,1085806.2,1171260.4,1228114.2,1353473.1,1529426,1664819,2015588.1,2265743,2506376,2596133.5
Iraq,Iraq,Freshwater & diadromous fish,Tonnes,23727,36849,61031,61181,45142,40670,32676,41543,67139,66817,26090.67,39492.98,62848.64,62601.59,47486.05,40670,34363,47198.21,76221.62,75227.47
Jamaica,Jamaica,Freshwater & diadromous fish,Tonnes,4600,5195,7943,6000,6200,5430,4200,1500,982,1186,4858.24,5405.64,8224.96,6603.79,6400.9,5850.93,4555.28,1926.16,1399.86,1469.08
Jordan,Jordan,Freshwater & diadromous fish,Tonnes,837,911,910,859,890,790,891,925,1000,985,857,972.48,969.27,908.68,1209.02,1046.5,1141.44,1131.5,5846.01,8432.19
Kazakhstan,Kazakhstan,Freshwater & diadromous fish,Tonnes,33462,37673,29615,33816,51116,38085,46476,35233,36846,34676,1158.81,2684.98,938.26,3446.3,7082.59,5954.85,28571.82,21213.91,37441.62,43360.25
Kenya,Kenya,Freshwater & diadromous fish,Tonnes,120107,141226,152723,128548,131530,132915,144077,196473,171597,177711,80161.42,115434.06,133183.25,114397.09,123904.16,126951.75,131862.94,182689.45,156020.69,169225.27
Kyrgyzstan,Kyrgyzstan,Freshwater & diadromous fish,Tonnes,27,46,57,121,100,143,379,422,324,327,98.75,144.89,226.78,360.32,679.65,479.33,563.71,726,1271.78,1410.33
Lao People's Democratic Republic,Lao People's Dem. Rep.,Freshwater & diadromous fish,Tonnes,94700,86560,86905,91640,93480,104980,112980,129580,135975,142050,94697,86560,86947.78,92430.28,93834.4,105145.75,113270.16,129919.8,136296.92,142280.67
Lesotho,Lesotho,Freshwater & diadromous fish,Tonnes,47,46,47,179,141,153,345,345,450,550,77.03,57.11,69.22,195.67,171.67,124,120.08,51.62,488.92,644.81
Liberia,Liberia,Freshwater & diadromous fish,Tonnes,3455,2837,2417,1938,836,2276,2280,2280,2290,2290,3482.5,2864.86,2459.45,1942.97,836,2296,2285.36,2337.1,2554.25,2352.17
Libya,Libya,Freshwater & diadromous fish,Tonnes,10,10,10,10,10,10,10,10,10,10,812.82,103.33,252.22,291.62,346.41,275.73,295.56,518.85,1666.11,1276.77
North Macedonia,"Macedonia, Fmr Yug Rp of",Freshwater & diadromous fish,Tonnes,1172,1114,735,1218,1453,1762,1727,1636,1555,1674,1638.45,1597.05,1158.03,1704.38,2215.91,2965.82,2721.53,2462.57,2522.61,2344.7
Madagascar,Madagascar,Freshwater & diadromous fish,Tonnes,34060,35320,35520,35460,35460,35678,38380,34265,30630,26769,33727.54,34929.27,35412,35405.22,35438.25,35643.93,38362.93,34215.91,30547.79,26617.19
Malawi,Malawi,Freshwater & diadromous fish,Tonnes,57196,60407,74287,68000,71719,70945,100929,85248,128624,115953,57211.09,60230.99,73598.85,67947.26,71674.98,70949.84,100917.41,85099.95,128524.53,115964.72
Maldives,Maldives,Freshwater & diadromous fish,Tonnes,0,0,0,0,0,0,0,0,0,0,61.19,44.32,76.14,96.94,107.19,101.54,127.35,133.94,188.1,251.37
Mali,Mali,Freshwater & diadromous fish,Tonnes,101008,101008,101000,100640,100821,101355,102083,110217,72216,101558,101311.11,101135,103444,94530.3,95768.11,94722,92380.11,103353,65553.68,94028
Mauritania,Mauritania,Freshwater & diadromous fish,Tonnes,12000,13000,15000,15000,15000,15000,15000,15000,15000,15000,11980,13022,15000,15094,15000,15001,14622,14954.11,15014.56,15091.11
Mexico,Mexico,Freshwater & diadromous fish,Tonnes,138315,138140,139938,130587,121751,126341,123846,139936,149529,159103,205780.88,220680.77,252685.42,277218.78,267557.16,275211.34,299456.94,333436.9,352275,396578.38
Moldova (Republic of),"Moldova, Republic of",Freshwater & diadromous fish,Tonnes,5725,6346,6841,7506,7816,8306,8824,9330,9530,9550,6076.74,7311.27,7843.77,8692.49,11025.52,15611.85,13395.95,13517.8,13240.52,14358.66
Mongolia,Mongolia,Freshwater & diadromous fish,Tonnes,305,366,326,185,88,90,100,80,61,60,5,9,12,57,33,51,3,0,20.5,62
Montenegro,Montenegro,Freshwater & diadromous fish,Tonnes,0,0,922,577,1161,1128,1005,1321,1141,1369,0,0,917.81,680.32,1345.71,1337.06,1183.6,1490.03,1658.42,1900.87
Morocco,Morocco,Freshwater & diadromous fish,Tonnes,1631,3752,4296,5421,5626,7226,8427,10144,14083,16343,1725.95,3573.02,3919.58,5760.99,6401.86,8301.06,10514.07,13213.38,16904.98,19704.75
Mozambique,Mozambique,Freshwater & diadromous fish,Tonnes,27777,23107,26296,23939,28036,43814,45033,73708,67717,85441,27348.5,22210.64,25349.22,23573.67,27444.41,43601.08,44939.33,73345.58,67224.38,85016.41
