"Land Area","Ocean Area","Unit","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015","2016","S_2016","2017","S_2017","2018","S_2018"
"Eswatini","Inland waters","t","60","F","133","F","269","","160","F","160","F","160","F","165","F","165","F","165","F","165","F","165","F"
"Ethiopia","Inland waters","t","16795","","17072","","18083","","24066","","28990","","38416.3","","50204.5","","45609.5","","50095","F","56127","","57331",""
"Ethiopia","Inland waters","no","492","","3","","4","","77","","400","","0",".","0",".","6","","7","","4","","0","-"
"Falkland Is.(Malvinas)","Inland waters","t","1","","1","","1","","1","","1","","1","","1","","1","","1","","1","","1",""
"Fiji","Inland waters","t","2317","F","2070","","1887","","2865","","2765","F","2765","F","2785","F","2785","F","2795","F","2818","F","2833","F"
"Finland","Inland waters","t","31471","","31825","","30800","","30804","","25683","","25605","","31419","","31963","","30444.17","","30925.7","","31116.4","F"
"France","Inland waters","t","45575.4","","43978","","45957","","42876","","42175","","41737.9","","40752.7","","34762.2","","36791","F","36889","F","35755","F"
"French Guiana","Inland waters","t","8","","52","","47","F","59","F","66","F","50","F","51","F","51","F","48","F","45","F","42","F"
"French Polynesia","Inland waters","t","53","","53","","53","","53","","53","","53","","53","","53","F","53","F","53","F","0","."
"Gabon","Inland waters","t","9924","F","10226","F","10530","F","10830","F","11048","F","11346","F","11797","F","11045","F","11045","F","11045","F","11045","F"
"Gambia","Inland waters","t","4171","","4466","","4659","F","4813","F","4984","","4584","","3969","","3265","F","2590","","1325","","1273",""
"Georgia","Inland waters","t","455","F","725","F","862","F","1027","F","1176","F","1325","F","1495","F","1655","F","1765","F","1982","","2301.5",""
"Germany","Inland waters","t","53235","","50709","","50705","","33910","","35189","","36253","","36426","","40303","","40130","","37816","","36249",""
"Ghana","Inland waters","t","90594","","95854","F","100200","F","109092","F","117450","F","122513","F","128535","F","134600","F","142470","F","147405","F","166620","F"
"Greece","Inland waters","t","5416","","4033","","4143","","3336.7","","3412.14","","3311.19","","3012.7","","3174.8","","3097.4","","3380","","3537.4",""
"Guadeloupe","Inland waters","t","11","","7.4","","8","","10","","10","F","10","F","10","F","10","F","4","F","4","","4","F"
"Guam","Inland waters","t","110","F","88.5","","82","","70","","70","F","70","F","70","F","70","F","70","F","70","F","70","F"
"Guatemala","Inland waters","t","5360","","5360","F","3231.23","F","7884","","7839","","8358","","9864","","10339.6","","10899.9","","12265","","13404",""
"Guinea","Inland waters","t","12170","F","14177","F","16185","F","18187.2","F","20292.5","F","22322.8","F","24351","F","26409","F","28477.8","F","30572.9","F","30686.6","F"
"Guinea-Bissau","Inland waters","t","150","F","150","F","150","F","150","F","150","F","150","F","150","F","150","F","160","F","185","F","190","F"
"Guyana","Inland waters","t","1015","","1142.96","F","1155.8","","990.1","","1033.178","","991.65","","938.354","","998.13","","967.46","","1165.115","","831.72",""
"Guyana","Inland waters","no","24500","","28731","","20682","","28789","","19707","","29978","","34972","","21363","","1590","","16983","","11320",""
"Haiti","Inland waters","t","712","F","825","","860","F","1200","","1320","F","1400","F","1610","F","1820","F","1890","F","2000","F","2000","F"
"Honduras","Inland waters","t","20594","","14332","","16555","","20100","F","20600","F","22700","F","29850","F","30200","F","31100","F","33100","F","33600","F"
"Honduras","Inland waters","no","1944","","1090","","3","","200","","350","","0",".","0",".","0",".","0","-","0","-","0","-"
"Hungary","Inland waters","t","23081","","21191","","20461","","22632","","21850","","21390","","22789","","23263","","21295.969","","23864.5","","23086.3",""
"Iceland","Inland waters","t","612","","310","","348","","416.5","","551.3","","302.8","","814.5","","929.6","","2314","","4765","","419",""
"India","Inland waters","t","4515258","","4471205","","5092510","F","4416095","","5311080","","5381870","","5663743","F","6002748","F","6538196","F","7020939","F","7960808","F"
"Indonesia","Inland waters","t","1209726","","1277100.65","","1678211.21","","2088966.76","","2495426.74","","2989359.325","","3321314.87","","3434019","","3649272.07","","4205149","","4054815.085",""
"Indonesia","Inland waters","no","16306","","12251","","11752","","16780","","17860","","14146","","20308","","21216","","10688","","6578","","9598",""
"Iran (Islamic Rep. of)","Inland waters","t","216216","","246205","","288820","","315156","","369039","","398601","","388890","","413905","","461424","","463924","","475583",""
"Iraq","Inland waters","t","49232","","40991","","32550","","46184","","66421","","67520","","80156","","47651","","54835","","60691","","55057",""
"Ireland","Inland waters","t","1048","","1044","","848","","764.95","","761.4","","918","","962","","926","","793","","711","","638",""
"Israel","Inland waters","t","17201","","17712","","18271","","18953","","18570.4","","19224.6","","17610","","17883","","16863","","15372","","15387","F"
"Israel","Inland waters","no","0","-","2","","0","-","0","-","18","","0",".","0",".","27","","0",".","0","-","0","-"
"Italy","Inland waters","t","42830.263","","44322","","42491.63","","42603.9","","42765","","42870","","38657.15","","38669","F","44699","F","44700","F","40528.37",""
"Jamaica","Inland waters","t","6244","","5504","","4312","","1647","F","1170.65","","1623.9","","1574","","1300","","1647","","2433","","2828.63",""
"Japan","Inland waters","t","72998.102","","82921.113","","79607.05","","73513.085","","67185.081","","61489.085","","64813.085","","69556.083","","63435.099","","62353.101","","57077.055",""
"Jordan","Inland waters","t","890","","790","","891","","925","","1030","F","1230","F","1481","","1481","F","1481","F","1481","F","1496","F"
"Kazakhstan","Inland waters","t","51473","","38473","","47051","","35754","","37677","","35503","","37547","","41191.4","","43213","","32720","","33600","F"
"Kenya","Inland waters","t","131549","","132931","","144097","","196491","","171619","","177758","","183308","","175124","","142191","F","110935","","113120","F"
"Kenya","Inland waters","no","4504","","6906","","5259","","4180","","6403","","6332","","6229","","6504","","5959","","8130","","7946",""
"Korea, Dem. People's Rep","Inland waters","t","9050","F","9050","F","9275","F","9285","F","10090","F","9995","F","10395","F","10500","F","11400","F","14615","F","18465","F"
"Korea, Republic of","Inland waters","t","30248","","30071","","32489","","32071","","30498","","25415","","29778","","33056","","35130","","33632","","34760","F"
"Kuwait","Inland waters","t","274","","262","","300","","309","","299","","301","","295","F","260","F","185.76","","175","F","187",""
"Kyrgyzstan","Inland waters","t","100","","143","","379","F","454.5","","387","","420","F","804.93","","1099.4","","2019.7","","2190","F","2577.7",""
"Lao People's Dem. Rep.","Inland waters","t","93500","F","105800.5","F","113000","F","129600","F","136001","F","146946","F","168597","F","158600","F","170915","F","174900","F","179100","F"
